step_number,epoch_number,training_loss
1,0,1.3113811016082764
2,0,1.2944425344467163
3,0,1.2496254444122314
4,0,1.2106242179870605
5,0,1.2175846099853516
6,0,1.1958208084106445
7,0,1.0981297492980957
8,0,1.0838487148284912
9,0,1.1193842887878418
10,0,1.0447888374328613
11,0,1.0753061771392822
12,0,1.0833373069763184
13,0,0.9906023740768433
14,0,0.9615350961685181
15,0,1.0205957889556885
16,0,0.9058492183685303
17,0,0.9797297716140747
18,0,0.9251996278762817
19,0,0.9187897443771362
20,0,0.8207354545593262
21,0,0.9209885597229004
22,0,0.8128513693809509
23,0,0.8644182682037354
24,0,0.8341362476348877
25,0,0.8249374032020569
26,0,0.8291280269622803
27,0,0.8321754932403564
28,0,0.7333184480667114
29,0,0.7346509099006653
30,0,0.7169691920280457
31,0,0.7027472257614136
32,0,0.7152189016342163
33,0,0.7532981634140015
34,0,0.7186316251754761
35,0,0.7188060283660889
36,0,0.6607979536056519
37,0,0.6827857494354248
38,0,0.6394365429878235
39,0,0.6082603335380554
40,0,0.6250138878822327
41,0,0.5967323780059814
42,0,0.5931493043899536
43,0,0.5393044948577881
44,0,0.5659895539283752
45,0,0.5656868815422058
46,0,0.5396443605422974
47,0,0.5189751982688904
48,0,0.4625377058982849
49,0,0.4914567172527313
50,0,0.5282946825027466
51,0,0.532062292098999
52,0,0.4331452250480652
53,0,0.5012643337249756
54,0,0.48437750339508057
55,0,0.413627952337265
56,0,0.3913491368293762
57,0,0.3954657316207886
58,0,0.4356672167778015
59,0,0.3782878816127777
60,0,0.31798696517944336
61,0,0.4000087082386017
62,0,0.3390776216983795
63,0,0.32239389419555664
64,0,0.4036513566970825
65,0,0.28048980236053467
66,0,0.3262718915939331
67,0,0.3918461203575134
68,1,0.28552567958831787
69,1,0.35425806045532227
70,1,0.3196677565574646
71,1,0.26235443353652954
72,1,0.261932909488678
73,1,0.265764981508255
74,1,0.18663030862808228
75,1,0.2156161069869995
76,1,0.2351195514202118
77,1,0.21574938297271729
78,1,0.21570050716400146
79,1,0.30444973707199097
80,1,0.19971033930778503
81,1,0.1698395311832428
82,1,0.24566012620925903
83,1,0.162440687417984
84,1,0.207201287150383
85,1,0.18874730169773102
86,1,0.20555070042610168
87,1,0.10603458434343338
88,1,0.25056910514831543
89,1,0.13659262657165527
90,1,0.20767533779144287
91,1,0.16689595580101013
92,1,0.157276451587677
93,1,0.17509585618972778
94,1,0.17737741768360138
95,1,0.10905596613883972
96,1,0.10509417951107025
97,1,0.10918615758419037
98,1,0.13616187870502472
99,1,0.12295731902122498
100,1,0.17489871382713318
101,1,0.17023563385009766
102,1,0.14859984815120697
103,1,0.1333191692829132
104,1,0.14219823479652405
105,1,0.09775225818157196
106,1,0.09166231751441956
107,1,0.11293088644742966
108,1,0.10543833673000336
109,1,0.10423676669597626
110,1,0.07693544030189514
111,1,0.10900209844112396
112,1,0.10194480419158936
113,1,0.10974181443452835
114,1,0.07419372349977493
115,1,0.053096525371074677
116,1,0.08857082575559616
117,1,0.12116266787052155
118,1,0.117679163813591
119,1,0.05678446590900421
120,1,0.11290112137794495
121,1,0.09820113331079483
122,1,0.06255781650543213
123,1,0.04374969005584717
124,1,0.05575942620635033
125,1,0.07888845354318619
126,1,0.050721149891614914
127,1,0.03766930103302002
128,1,0.08236764371395111
129,1,0.06076687201857567
130,1,0.04433614760637283
131,1,0.0853729248046875
132,1,0.03844549506902695
133,1,0.07421453297138214
134,1,0.10537633299827576
135,2,0.05208420008420944
136,2,0.09455899149179459
137,2,0.0837426483631134
138,2,0.053987644612789154
139,2,0.05331052094697952
140,2,0.06323368102312088
141,2,0.036919813603162766
142,2,0.04655798524618149
143,2,0.04205077141523361
144,2,0.050311747938394547
145,2,0.04228875786066055
146,2,0.08424822986125946
147,2,0.05182884633541107
148,2,0.041100651025772095
149,2,0.06125480309128761
150,2,0.041873328387737274
151,2,0.045416466891765594
152,2,0.04943772032856941
153,2,0.05522763729095459
154,2,0.028481390327215195
155,2,0.06458346545696259
156,2,0.0383387953042984
157,2,0.0584174208343029
158,2,0.05305333063006401
159,2,0.03801196068525314
160,2,0.04717252403497696
161,2,0.04768972098827362
162,2,0.03555075079202652
163,2,0.024610528722405434
164,2,0.03289202228188515
165,2,0.04898916557431221
166,2,0.03262633457779884
167,2,0.048142991960048676
168,2,0.05404549837112427
169,2,0.041395317763090134
170,2,0.04990742355585098
171,2,0.044540077447891235
172,2,0.029475942254066467
173,2,0.026464035734534264
174,2,0.03854195773601532
175,2,0.0323307067155838
176,2,0.03450903296470642
177,2,0.025875462219119072
178,2,0.03873101994395256
179,2,0.03253372758626938
180,2,0.029730895534157753
181,2,0.028014393523335457
182,2,0.021241704002022743
183,2,0.023745223879814148
184,2,0.051684632897377014
185,2,0.04344044625759125
186,2,0.02122151479125023
187,2,0.03240615874528885
188,2,0.030903439968824387
189,2,0.019970081746578217
190,2,0.01674867421388626
191,2,0.021800538524985313
192,2,0.032184649258852005
193,2,0.020705830305814743
194,2,0.01782218925654888
195,2,0.0350230373442173
196,2,0.026201806962490082
197,2,0.016067884862422943
198,2,0.0355488657951355
199,2,0.016739390790462494
200,2,0.021426042541861534
201,2,0.02393212541937828
